"SAMPLE 2023-01-13_08-39-52 csv_sources\0_fertoing_source.csv search_mode='any' keywords=['болт', 'винт', 'гайка', 'шайба', 'шуруп'] exclude=[]"
Болт 8.8 М12x120 Zn ГОСТ 7798-70,"{'din': None, 'gost': '7798-70', 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': '8.8', 'T': Counter({'12': 1, '120': 1}), 'K': {'болт'}}"
Болт 8*16_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'8': 1, '16': 1}), 'K': {'болт'}}"
Болт 8*20_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'8': 1, '20': 1}), 'K': {'болт'}}"
Болт 8x60,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'8': 1, '60': 1}), 'K': {'болт'}}"
Болт 8х50нерж. А2_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter(), 'K': {'болт'}}"
Болт A085-118-160__НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'085': 1, '118': 1, '160': 1}), 'K': {'болт'}}"
Болт BHCS-M6-55,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'bhcs': 1, '6': 1, '55': 1}), 'K': {'болт'}}"
"Болт DIN 931 с шестигранной головкой , неполная резьба М6х40 А2-Нерж_НЕ_ИСПОЛЬЗУЕТСЯ","{'din': '931', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({',': 1, '6': 1, '40': 1}), 'K': {'болт', 'головка', 'резьба'}}"
Болт DIN603 М8*100_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '603', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '100': 1}), 'K': {'болт'}}"
Болт DIN603 М8*120_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '603', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '120': 1}), 'K': {'болт'}}"
Болт DIN603 М8*50_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '603', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '50': 1}), 'K': {'болт'}}"
Болт DIN604 М6*60_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '604', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '60': 1}), 'K': {'болт'}}"
Болт DIN6912 М8*20_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '6912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '20': 1}), 'K': {'болт'}}"
Болт DIN6912 М8*30_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '6912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '30': 1}), 'K': {'болт'}}"
Болт DIN6912 М8*40_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '6912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '40': 1}), 'K': {'болт'}}"
Болт DIN6921 М6*45_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '6921', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '45': 1}), 'K': {'болт'}}"
Болт DIN7991 М10*110_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '110': 1}), 'K': {'болт'}}"
Болт DIN7991 М10*40,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '40': 1}), 'K': {'болт'}}"
Болт DIN7991 М10*50_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '50': 1}), 'K': {'болт'}}"
Болт DIN7991 М10*70_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '70': 1}), 'K': {'болт'}}"
Болт DIN7991 М12*100_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1, '100': 1}), 'K': {'болт'}}"
Болт DIN7991 М12*30_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1, '30': 1}), 'K': {'болт'}}"
Болт DIN7991 М12*35_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1, '35': 1}), 'K': {'болт'}}"
Болт DIN7991 М12*50_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1, '50': 1}), 'K': {'болт'}}"
Болт DIN7991 М12*60_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1, '60': 1}), 'K': {'болт'}}"
Болт DIN7991 М4*10_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'4': 1, '10': 1}), 'K': {'болт'}}"
Болт DIN7991 М4*16_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'4': 1, '16': 1}), 'K': {'болт'}}"
Болт DIN7991 М4*30_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'4': 1, '30': 1}), 'K': {'болт'}}"
Болт DIN7991 М4*50_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'4': 1, '50': 1}), 'K': {'болт'}}"
Болт DIN7991 М6*16_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '16': 1}), 'K': {'болт'}}"
Болт DIN7991 М6*20_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '20': 1}), 'K': {'болт'}}"
Болт DIN7991 М6*30_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '30': 1}), 'K': {'болт'}}"
Болт DIN7991 М6*40_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '40': 1}), 'K': {'болт'}}"
Болт DIN7991 М8*100_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '100': 1}), 'K': {'болт'}}"
Болт DIN7991 М8*200_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '200': 1}), 'K': {'болт'}}"
Болт DIN7991 М8*40_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '7991', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '40': 1}), 'K': {'болт'}}"
Болт DIN912 М10*16_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '16': 1}), 'K': {'болт'}}"
Болт DIN912 М10*25_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '25': 1}), 'K': {'болт'}}"
Болт DIN912 М10*30_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '30': 1}), 'K': {'болт'}}"
Болт DIN912 М10*35,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '35': 1}), 'K': {'болт'}}"
Болт DIN912 М10*40_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '40': 1}), 'K': {'болт'}}"
Болт DIN912 М10*50_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '50': 1}), 'K': {'болт'}}"
Болт DIN912 М10*65_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'10': 1, '65': 1}), 'K': {'болт'}}"
Болт DIN912 М12*25_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1, '25': 1}), 'K': {'болт'}}"
Болт DIN912 М12*30_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1, '30': 1}), 'K': {'болт'}}"
Болт DIN912 М12*40_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1, '40': 1}), 'K': {'болт'}}"
Болт DIN912 М12*45_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1, '45': 1}), 'K': {'болт'}}"
Болт DIN912 М12*50_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1, '50': 1}), 'K': {'болт'}}"
Болт DIN912 М12*55_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1, '55': 1}), 'K': {'болт'}}"
Болт DIN912 М12*60_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1, '60': 1}), 'K': {'болт'}}"
Болт DIN912 М16*35_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'16': 1, '35': 1}), 'K': {'болт'}}"
Болт DIN912 М16*90_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'16': 1, '90': 1}), 'K': {'болт'}}"
Болт DIN912 М3*8_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'3': 1, '8': 1}), 'K': {'болт'}}"
Болт DIN912 М4*16_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'4': 1, '16': 1}), 'K': {'болт'}}"
Болт DIN912 М4*20_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'4': 1, '20': 1}), 'K': {'болт'}}"
Болт DIN912 М4*30_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'4': 1, '30': 1}), 'K': {'болт'}}"
Болт DIN912 М4*35_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'4': 1, '35': 1}), 'K': {'болт'}}"
Болт DIN912 М4*40_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'4': 1, '40': 1}), 'K': {'болт'}}"
Болт DIN912 М4*55_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'4': 1, '55': 1}), 'K': {'болт'}}"
Болт DIN912 М5*12_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'5': 1, '12': 1}), 'K': {'болт'}}"
Болт DIN912 М5*16_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'5': 1, '16': 1}), 'K': {'болт'}}"
Болт DIN912 М5*25_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'5': 1, '25': 1}), 'K': {'болт'}}"
Болт DIN912 М5*30_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'5': 1, '30': 1}), 'K': {'болт'}}"
Болт DIN912 М5*70_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'5': 1, '70': 1}), 'K': {'болт'}}"
Болт DIN912 М6*12_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '12': 1}), 'K': {'болт'}}"
Болт DIN912 М6*20_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '20': 1}), 'K': {'болт'}}"
Болт DIN912 М6*25_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '25': 1}), 'K': {'болт'}}"
Болт DIN912 М6*30_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '30': 1}), 'K': {'болт'}}"
Болт DIN912 М6*35_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '35': 1}), 'K': {'болт'}}"
Болт DIN912 М6*40_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '40': 1}), 'K': {'болт'}}"
Болт DIN912 М6*50_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '50': 1}), 'K': {'болт'}}"
Болт DIN912 М6*55_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '55': 1}), 'K': {'болт'}}"
Болт DIN912 М6*60_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '60': 1}), 'K': {'болт'}}"
Болт DIN912 М6*65_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '65': 1}), 'K': {'болт'}}"
Болт DIN912 М6*75_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '75': 1}), 'K': {'болт'}}"
Болт DIN912 М6*80_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'6': 1, '80': 1}), 'K': {'болт'}}"
Болт DIN912 М8*16_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '16': 1}), 'K': {'болт'}}"
Болт DIN912 М8*20_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '20': 1}), 'K': {'болт'}}"
Болт DIN912 М8*25_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '25': 1}), 'K': {'болт'}}"
Болт DIN912 М8*30_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '30': 1}), 'K': {'болт'}}"
Болт DIN912 М8*35_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '35': 1}), 'K': {'болт'}}"
Болт DIN912 М8*40_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '40': 1}), 'K': {'болт'}}"
Болт DIN912 М8*50_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '50': 1}), 'K': {'болт'}}"
Болт DIN912 М8*60_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '60': 1}), 'K': {'болт'}}"
Болт DIN912 М8*65_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '65': 1}), 'K': {'болт'}}"
Болт DIN912 М8*70_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '70': 1}), 'K': {'болт'}}"
Болт DIN912 М8*75_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '75': 1}), 'K': {'болт'}}"
Болт DIN912 М8*90_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '912', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '90': 1}), 'K': {'болт'}}"
Болт DIN931 М12*100_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '931', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'12': 1, '100': 1}), 'K': {'болт'}}"
Болт DIN931 М2*150_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '931', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'2': 1, '150': 1}), 'K': {'болт'}}"
Болт DIN931 М8*35_НЕ_ИСПОЛЬЗУЕТСЯ,"{'din': '931', 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': 'ZN', 'fastener_class': None, 'T': Counter({'8': 1, '35': 1}), 'K': {'болт'}}"
Болт M3х30 А2 DIN 933 / ISO 4017,"{'din': '933', 'gost': None, 'iso': '4017', 'sku': None, 'fastener_plating': 'A2', 'fastener_class': None, 'T': Counter({'3': 1, '30': 1}), 'K': {'болт'}}"
Болт OIL RTN WR 001-4449,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'oil': 1, 'rtn': 1, 'wr': 1, '001': 1, '4449': 1}), 'K': {'болт'}}"
Болт OIL SPLY WR 001-4448,"{'din': None, 'gost': None, 'iso': None, 'sku': None, 'fastener_plating': None, 'fastener_class': None, 'T': Counter({'oil': 1, 'sply': 1, 'wr': 1, '001': 1, '4448': 1}), 'K': {'болт'}}"
